IgnisKitty,2972,2,23,03:54.18,5.89,76,19.47,8,6,1,0
BOBER99999999999,2829,1,17,03:12.45,5.30,74,23.07,4,3,1,1
kdnn0914,2756,0,8,01:9.72,6.88,39,33.56,0,0,0,2
Mexxiko,2725,2,20,03:49,5.24,77,20.17,6,1,4,0
IMprob,1934,1,10,02:20.72,4.26,58,24.73,3,0,1,1
LauritsSchultz,1894,3,6,01:50.24,3.26,31,16.87,3,0,1,0
Derpatron1659,1841,0,7,02:09.06,3.25,45,20.91,0,0,1,1
Johanne15,1802,1,16,02:56.52,5.43,66,22.43,8,1,2,0
InkyMess,1684,1,16,02:23.37,6.69,63,26.36,5,4,1,0
Emohem,1648,1,14,03:03.64,4.57,62,20.25,9,1,1,0
ApeKid,1591,1,17,03:19.89,5.10,69,20.71,9,4,0,0
Buratskie09,1550,9,3,00:57.03,3.15,32,33.66,1,1,0,0
Candylife101,1505,0,4,00:57.67,4.16,33,34.33,0,0,0,1
Veress460,1109,1,12,02:48.64,4.26,60,21.34,12,0,0,0
BeeDee9999,1091,0,9,03:01.65,2.97,54,17.83,1,1,2,0
erictungfilm,840,9,2,00:50.57,2.37,24,28.47,2,0,0,0
erma0507,544,0,6,02:27.61,2.43,43,17.47,6,0,0,0
Mini_Dude,524,0,5,02:11.04,2.28,40,18.31,3,1,0,0
aifosac,458,1,2,01:02.94,1.90,32,30.50,0,1,0,0
NebulaOG,432,0,4,01:56.32,2.06,37,19.08,2,1,0,0
lucasn123456,417,0,3,01:19.58,2.26,36,27.14,3,0,0,0
LucasCrafter888,409,1,2,01:54.01,1.05,32,16.840,1,0,0
