taejoonie_,1614,0,6,01:26.53,4.16,36,24.96,2,0,0,1 
psonehin,1551,1,14,02:26.47,5.73,53,21.71,5,3,1,0 
Anders216,1534,1,12,02:50.34,4.22,62,21.83,6,3,0,0 
SupremeKain,1495,1,9,01:46.65,5.06,54,30.37,4,1,1,0 
Lulucandy,1425,0,4,01:31.39,2.62,26,17.07,0,0,0,1 
MaxwellJohn14,1278,9,3,01:07.33,2.67,35,31.18,3,0,0,0 
DustBurner,1174,0,9,01:28.26,6.11,42,28.55,3,0,2,0 
pandajj,1072,1,12,02:12.28,5.44,48,21.77,10,1,0,0 
LucasDK2000,964,1,10,01:59.51,5.02,51,25.60,6,2,0,0 
Megadarklord,874,0,8,01:21.86,5.86,36,26.38,3,1,1,0 
MyNameIsJayJay,783,0,7,02:50.12,2.46,45,15.87,2,1,1,0 
smartygrl2010,767,0,6,01:38.76,3.64,43,26.12,1,1,1,0 
racketyphilly5k,754,0,8,02:09.29,3.71,41,19.02,4,2,0,0
