Poobee308,2409,7,6,01:21.27,4.42,30,22.14,2,2,0,0
xiritito,2163,1,16,03:09.46,5.06,68,21.53,5,1,3,0
Kotipolizei,2143,1,13,02:23.54,5.43,57,23.82,5,2,0,1
Jesse871,2090,1,18,02:48.82,6.39,78,27.72,11,2,1,0
GiovanniHSG,1899,0,8,02:23.44,3.34,54,22.58,1,0,1,1
Christine6969,1813,1,18,04:09.42,4.33,67,16.11,11,2,1,0
KLenFaze,1714,0,7,02:11.01,3.20,53,24.27,3,0,0,1
godz_aaron,1656,1,18,03:34.05,5.04,75,21.02,14,2,0,0
Ali2630979,1495,0,4,01:31.82,2.61,39,25.48,0,0,0,1
Sooter,1447,0,4,02:01.08,1.98,40,19.82,0,0,0,1
plumbloss,1348,1,14,02:55.68,4.78,68,23.22,4,5,0,0
Lost_Dreemurr,1298,1,15,03:04.79,4.87,68,22.07,15,0,0,0
eiesland,991,1,10,02:05.82,4.76,55,26.22,1,3,1,0
DaniYouri,891,0,8,02:01.59,3.94,51,25.16,3,1,1,0
NikosT_007,770,1,10,03:02.91,3.28,56,18.37,6,2,0,0
Jude_Rabies,732,1,10,03:05.53,3.23,53,17.13,8,1,0,0
venusaye,721,0,9,02:07.7,4.22,51,23.96,5,2,0,0
lavanderguy110,714,0,7,02:19.47,3.01,46,19.78,5,1,0,0
OhMaria,661,0,7,01:44.51,4.01,45,25.83,7,0,0,0
leotlovesnaruto,604,1,4,01:49.99,2.18,33,18.00,2,1,0,0
shark1887,596,0,8,03:11.65,2.50,49,15.34,6,1,0,0
iCloudX1,509,0,3,00:50.91,3.53,22,25.92,0,0,1,0
UseBirthControl,291,0,1,01:22.01,0.73,34,24.87,1,0,0,0
Toonhouben,261,0,1,01:30.51,0.66,30,19.88,1,0,0,0
XerneraC,249,0,1,01:20.76,0.74,29,21.54,1,0,0,0
Sandyy67,233,1,1,00:30.86,1.94,17,33.05,1,0,0,0
