Gregami,2842,2,26,04:55.09,5.28,93,18.90,18,4,0,0
Ril38,2605,1,16,03:07.57,5.11,70,22.39,5,2,1,1
hehexdxdxdxd,2486,2,23,04:11.57,5.48,84,20.03,9,7,0,0
king0906,2343,1,17,03:33.56,4.77,62,17.41,10,2,1,0
Egedemanden,2271,2,21,04:56.24,4.25,81,16.40,8,5,1,0
Blackjazz,2071,1,12,02:40.85,4.47,59,22.00,6,1,0,1
jona8390jona8390,2059,9,5,01:33.17,3.21,42,27.04,5,0,0,0
Vivian856,2021,1,17,03:44.52,4.54,70,18.70,11,3,0,0
svetthandbook1,1996,1,10,01:54.2,5.25,46,24.16,2,1,2,0
GUSMUSS,1938,2,21,04:05.99,5.12,85,20.73,11,5,0,0
elias2102,1792,1,16,03:48.11,4.20,73,19.20,7,3,1,0
Memo826,1764,0,8,02:29.5,3.21,50,20.06,4,0,0,1
Erucaren,1458,0,4,02:16.13,1.76,41,18.07,0,0,0,1
cfunk,1419,1,14,03:46.27,3.71,67,17.76,6,4,0,0
Bean_e,1390,0,4,01:34.81,2.53,30,18.98,0,0,0,1
Bean_e,1390,0,4,01:34.81,2.53,30,18.98,0,0,0,1
Anemic_Paradise,1362,1,15,03:09.37,4.75,70,22.17,15,0,0,0
CongGor,1333,1,14,01:57.77,7.13,50,25.47,10,2,0,0
The_12thDoctor,1254,9,3,01:25.87,2.09,40,27.95,3,0,0,0
AutoMail,1233,9,3,01:30.02,1.99,39,25.99,3,0,0,0
SGH0309,1204,1,11,02:40.56,4.11,58,21.67,6,1,1,0
condomlicker,1199,1,13,02:52.8,4.51,56,19.44,7,3,0,0
shinigamilight,947,0,9,02:24.94,3.72,51,21.11,2,2,1,0
TailZ2_0,940,1,11,03:14.6,3.39,55,16.95,7,2,0,0
Bano12321,934,0,8,01:55.74,4.14,47,24.36,1,2,1,0
